Designator,Footprint,Quantity,Value,LCSC Part #
BOOT(I09),SW_SPST_PTS810,1,SW2,
"C1, C2, C3, C5",1206,4,1u,
C4,1206,1,10u,
"D1, D2, D3",D_SOD-523,3,LESD5D5.0CT1G,
"D4, D6",D_SOD-123,2,1N5819,
D5,1206,1,LED,
J1,USB_C_Receptacle_GCT_USB4110,1,USB_C_Receptacle_USB2.0_16P,
"J2, J3",PinSocket_1x14_P2.54mm_Vertical,2,Conn_01x14,
"R1, R2",1206,2,5.1k,
"R3, R4, R5",1206,3,10k,
R6,1206,1,220,
RST(EN),SW_SPST_PTS810,1,SW1,
U1,ESP32-C6-MINI-1,1,ESP32-C6-MINI-1/U,
U2,SOT-223-3_TabPin2,1,LM1117MP-3.3,
