Designator,Mid X,Mid Y,Rotation,Layer
BOOT(I09),193.10895,-96.300016,0.0,top
C1,178.8,-65.85,90.0,top
C2,182.75,-88.55,90.0,top
C3,187.2,-82.75,180.0,top
C4,179.2,-109.45,270.0,top
C5,182.6875,-99.75,0.0,top
D1,197.469611,-109.1,90.0,top
D2,188.25,-109.05,90.0,top
D3,190.969611,-109.1,90.0,top
D4,179.219611,-116.324264,270.0,top
D5,204.0875,-73.2,180.0,top
D6,171.85,-73.0,180.0,top
J1,188.219611,-117.424264,0.0,top
J2,205.0,-93.890826,0.0,top
J3,171.0,-93.91,0.0,top
R1,184.969611,-108.124264,90.0,top
R2,194.219611,-108.124264,90.0,top
R3,197.45,-103.0,180.0,top
R4,187.5,-97.05,90.0,top
R5,193.2,-99.75,180.0,top
R6,197.6,-78.05,270.0,top
RST(EN),182.90895,-96.300016,0.0,top
U1,188.05,-66.25,0.0,top
U2,188.93395,-88.375016,180.0,top
